obs_codes	obs_dates	obs_station_names	obs_tcc_table_h	obs_tcc_table	ecmwf_dates	ecmwf_tcc_table_h	ecmwf_tcc_table
622	2025-09-02	THESSALONIKI (AIRPORT)	18	0	2025-09-01	42	0
622	2025-09-03	THESSALONIKI (AIRPORT)	18	13	2025-09-02	42	96.2559
622	2025-09-04	THESSALONIKI (AIRPORT)	18	50	2025-09-03	42	81.498
622	2025-09-05	THESSALONIKI (AIRPORT)	18	13	2025-09-04	42	1.00391
622	2025-09-06	THESSALONIKI (AIRPORT)	18	13	2025-09-05	42	5.98438
622	2025-09-07	THESSALONIKI (AIRPORT)	18	25	2025-09-06	42	15.1191
622	2025-09-08	THESSALONIKI (AIRPORT)	18	38	2025-09-07	42	2.4375
622	2025-09-09	THESSALONIKI (AIRPORT)	18	0	2025-09-08	42	0.943359
622	2025-09-10	THESSALONIKI (AIRPORT)	18	25	2025-09-09	42	0.00585938
622	2025-09-11	THESSALONIKI (AIRPORT)	18	75	2025-09-10	42	99.8203
622	2025-09-12	THESSALONIKI (AIRPORT)	18	13	2025-09-11	42	0.667969
622	2025-09-13	THESSALONIKI (AIRPORT)	18	13	2025-09-12	42	3.26562
622	2025-09-14	THESSALONIKI (AIRPORT)	18	50	2025-09-13	42	46.9629
622	2025-09-15	THESSALONIKI (AIRPORT)	18	13	2025-09-14	42	0
622	2025-09-16	THESSALONIKI (AIRPORT)	18	13	2025-09-15	42	0
622	2025-09-17	THESSALONIKI (AIRPORT)	18	13	2025-09-16	42	7.73633
622	2025-09-18	THESSALONIKI (AIRPORT)	18	0	2025-09-17	42	0
622	2025-09-19	THESSALONIKI (AIRPORT)	18	0	2025-09-18	42	0
622	2025-09-20	THESSALONIKI (AIRPORT)	18	0	2025-09-19	42	0
622	2025-09-21	THESSALONIKI (AIRPORT)	18	13	2025-09-20	42	0
622	2025-09-22	THESSALONIKI (AIRPORT)	18	0	2025-09-21	42	0
622	2025-09-23	THESSALONIKI (AIRPORT)	18	0	2025-09-22	42	0
622	2025-09-24	THESSALONIKI (AIRPORT)	18	25	2025-09-23	42	0.158203
622	2025-09-25	THESSALONIKI (AIRPORT)	18	75	2025-09-24	42	9.87891
622	2025-09-26	THESSALONIKI (AIRPORT)	18	75	2025-09-25	42	99.7656
622	2025-09-27	THESSALONIKI (AIRPORT)	18	88	2025-09-26	42	99.9941
622	2025-09-28	THESSALONIKI (AIRPORT)	18	100	2025-09-27	42	100
622	2025-09-29	THESSALONIKI (AIRPORT)	18	63	2025-09-28	42	5.32617
622	2025-09-30	THESSALONIKI (AIRPORT)	18	75	2025-09-29	42	0.628906
624	2025-09-02	CHRYSOPOULI (AIRPORT)	18	0	2025-09-01	42	0
624	2025-09-03	CHRYSOPOULI (AIRPORT)	18	13	2025-09-02	42	64.4141
624	2025-09-04	CHRYSOPOULI (AIRPORT)	18	50	2025-09-03	42	18.1328
624	2025-09-05	CHRYSOPOULI (AIRPORT)	18	38	2025-09-04	42	1.25195
624	2025-09-06	CHRYSOPOULI (AIRPORT)	18	13	2025-09-05	42	0
624	2025-09-07	CHRYSOPOULI (AIRPORT)	18	50	2025-09-06	42	37.3379
624	2025-09-08	CHRYSOPOULI (AIRPORT)	18	50	2025-09-07	42	13.9316
624	2025-09-09	CHRYSOPOULI (AIRPORT)	18	13	2025-09-08	42	0.265625
624	2025-09-10	CHRYSOPOULI (AIRPORT)	18	25	2025-09-09	42	10.9824
624	2025-09-11	CHRYSOPOULI (AIRPORT)	18	50	2025-09-10	42	93.2285
624	2025-09-12	CHRYSOPOULI (AIRPORT)	18	63	2025-09-11	42	21.3555
624	2025-09-13	CHRYSOPOULI (AIRPORT)	18	25	2025-09-12	42	2.05664
624	2025-09-14	CHRYSOPOULI (AIRPORT)	18	25	2025-09-13	42	7.33594
624	2025-09-15	CHRYSOPOULI (AIRPORT)	18	25	2025-09-14	42	6.97852
624	2025-09-16	CHRYSOPOULI (AIRPORT)	18	0	2025-09-15	42	0
624	2025-09-17	CHRYSOPOULI (AIRPORT)	18	88	2025-09-16	42	35.9863
624	2025-09-18	CHRYSOPOULI (AIRPORT)	18	13	2025-09-17	42	0.136719
624	2025-09-19	CHRYSOPOULI (AIRPORT)	18	0	2025-09-18	42	0
624	2025-09-20	CHRYSOPOULI (AIRPORT)	18	13	2025-09-19	42	0.119141
624	2025-09-21	CHRYSOPOULI (AIRPORT)	18	0	2025-09-20	42	0
624	2025-09-22	CHRYSOPOULI (AIRPORT)	18	0	2025-09-21	42	0
624	2025-09-23	CHRYSOPOULI (AIRPORT)	18	0	2025-09-22	42	0
