obs_codes	obs_dates	obs_station_names	obs_td_table_h	obs_td_table	icon_dates	icon_td_table_h	icon_td_table
606	2025-09-02	SERRAI	15	13.25	2025-09-01	39	9.31143
606	2025-09-03	SERRAI	15	15.15	2025-09-02	39	14.7631
606	2025-09-04	SERRAI	15	14.65	2025-09-03	39	14.193
606	2025-09-05	SERRAI	15	11.75	2025-09-04	39	7.57274
606	2025-09-06	SERRAI	15	15.75	2025-09-05	39	11.5049
606	2025-09-07	SERRAI	15	13.65	2025-09-06	39	7.83842
606	2025-09-08	SERRAI	15	13.65	2025-09-07	39	13.9569
606	2025-09-09	SERRAI	15	16.45	2025-09-08	39	15.3996
606	2025-09-10	SERRAI	15	16.65	2025-09-09	39	16.5578
606	2025-09-11	SERRAI	15	15.45	2025-09-10	39	16.1601
606	2025-09-12	SERRAI	15	12.45	2025-09-11	39	17.5677
606	2025-09-13	SERRAI	15	17.45	2025-09-12	39	16.7697
606	2025-09-14	SERRAI	15	16.25	2025-09-13	39	15.4442
606	2025-09-15	SERRAI	15	17.75	2025-09-14	39	11.4518
606	2025-09-16	SERRAI	15	15.75	2025-09-15	39	13.996
606	2025-09-17	SERRAI	15	12.45	2025-09-16	39	10.7599
606	2025-09-18	SERRAI	15	5.95	2025-09-17	39	5.50264
606	2025-09-19	SERRAI	15	7.15	2025-09-18	39	8.73648
606	2025-09-20	SERRAI	15	11.45	2025-09-19	39	10.5258
606	2025-09-21	SERRAI	15	12.45	2025-09-20	39	12.9467
606	2025-09-22	SERRAI	15	12.75	2025-09-21	39	12.0842
606	2025-09-23	SERRAI	15	15.75	2025-09-22	39	14.1015
606	2025-09-25	SERRAI	15	15.65	2025-09-24	39	15.3317
606	2025-09-26	SERRAI	15	11.25	2025-09-25	39	13.17
606	2025-09-27	SERRAI	15	8.75	2025-09-26	39	7.71476
606	2025-09-28	SERRAI	15	12.95	2025-09-27	39	8.50806
606	2025-09-29	SERRAI	15	12.75	2025-09-28	39	11.3574
606	2025-09-30	SERRAI	15	12.95	2025-09-29	39	8.08003
613	2025-09-02	FLORINA	15	9.25	2025-09-01	39	10.7675
613	2025-09-03	FLORINA	15	8.65	2025-09-02	39	12.6879
613	2025-09-04	FLORINA	15	14.45	2025-09-03	39	15.2951
613	2025-09-05	FLORINA	15	8.65	2025-09-04	39	9.16258
613	2025-09-06	FLORINA	15	6.65	2025-09-05	39	6.13089
613	2025-09-07	FLORINA	15	5.95	2025-09-06	39	6.37358
613	2025-09-08	FLORINA	15	7.45	2025-09-07	39	9.79483
613	2025-09-09	FLORINA	15	1.95	2025-09-08	39	11.9738
613	2025-09-10	FLORINA	15	10.15	2025-09-09	39	11.7736
613	2025-09-11	FLORINA	15	16.75	2025-09-10	39	14.7148
