obs_codes	obs_dates	obs_station_names	obs_td_table_h	obs_td_table	icon_dates	icon_td_table_h	icon_td_table
606	2025-10-02	SERRAI	15	13.25	2025-10-01	39	12.582
606	2025-10-03	SERRAI	15	8.15	2025-10-02	39	10.7585
606	2025-10-04	SERRAI	15	4.95	2025-10-03	39	5.21858
606	2025-10-05	SERRAI	15	6.95	2025-10-04	39	8.94131
606	2025-10-06	SERRAI	15	14.45	2025-10-05	39	12.9128
606	2025-10-07	SERRAI	15	6.65	2025-10-06	39	5.60318
606	2025-10-08	SERRAI	15	7.15	2025-10-07	39	7.50211
606	2025-10-09	SERRAI	15	6.95	2025-10-08	39	8.67612
606	2025-10-10	SERRAI	15	9.95	2025-10-09	39	11.3449
606	2025-10-11	SERRAI	15	6.25	2025-10-10	39	8.41115
606	2025-10-12	SERRAI	15	8.25	2025-10-11	39	11.0992
606	2025-10-13	SERRAI	15	7.75	2025-10-12	39	11.6476
606	2025-10-14	SERRAI	15	6.95	2025-10-13	39	9.51602
606	2025-10-15	SERRAI	15	10.95	2025-10-14	39	12.5021
606	2025-10-16	SERRAI	15	7.95	2025-10-15	39	11.5248
606	2025-10-17	SERRAI	15	11.15	2025-10-16	39	12.9669
606	2025-10-18	SERRAI	15	13.45	2025-10-17	39	13.3898
606	2025-10-19	SERRAI	15	4.95	2025-10-18	39	13.1767
606	2025-10-20	SERRAI	15	11.95	2025-10-19	39	12.2792
606	2025-10-21	SERRAI	15	11.75	2025-10-20	39	12.4677
606	2025-10-22	SERRAI	15	13.95	2025-10-21	39	13.4975
606	2025-10-23	SERRAI	15	14.65	2025-10-22	39	15.747
606	2025-10-26	SERRAI	15	11.15	2025-10-25	39	13.6437
606	2025-10-27	SERRAI	15	13.25	2025-10-26	39	14.5088
606	2025-10-28	SERRAI	15	3.75	2025-10-27	39	4.41891
606	2025-10-29	SERRAI	15	7.95	2025-10-28	39	9.46774
606	2025-10-30	SERRAI	15	10.15	2025-10-29	39	11.6711
606	2025-10-31	SERRAI	15	10.65	2025-10-30	39	11.6411
613	2025-10-03	FLORINA	15	2.75	2025-10-02	39	2.53099
613	2025-10-04	FLORINA	15	4.75	2025-10-03	39	4.7137
613	2025-10-05	FLORINA	15	2.75	2025-10-04	39	10.9872
613	2025-10-06	FLORINA	15	7.95	2025-10-05	39	7.64713
613	2025-10-07	FLORINA	15	5.95	2025-10-06	39	4.87271
613	2025-10-08	FLORINA	15	6.45	2025-10-07	39	7.04605
613	2025-10-09	FLORINA	15	7.15	2025-10-08	39	8.16147
613	2025-10-10	FLORINA	15	7.75	2025-10-09	39	9.17891
