obs_codes	obs_dates	obs_station_names	obs_td_table_h	obs_td_table	ecmwf_dates	ecmwf_td_table_h	ecmwf_td_table
606	2025-10-02	SERRAI	18	12.45	2025-10-01	42	13.0026
606	2025-10-03	SERRAI	18	7.25	2025-10-02	42	5.88443
606	2025-10-04	SERRAI	18	5.95	2025-10-03	42	5.24478
606	2025-10-05	SERRAI	18	11.25	2025-10-04	42	10.736
606	2025-10-06	SERRAI	18	13.65	2025-10-05	42	13.2702
606	2025-10-07	SERRAI	18	5.75	2025-10-06	42	7.2128
606	2025-10-08	SERRAI	18	6.75	2025-10-07	42	7.42691
606	2025-10-09	SERRAI	18	5.25	2025-10-08	42	6.94742
606	2025-10-10	SERRAI	18	8.95	2025-10-09	42	10.8756
606	2025-10-11	SERRAI	18	6.25	2025-10-10	42	9.18961
606	2025-10-12	SERRAI	18	7.95	2025-10-11	42	8.97818
606	2025-10-13	SERRAI	18	7.45	2025-10-12	42	9.51236
606	2025-10-14	SERRAI	18	8.95	2025-10-13	42	11.0729
606	2025-10-15	SERRAI	18	10.95	2025-10-14	42	11.5551
606	2025-10-16	SERRAI	18	9.25	2025-10-15	42	10.1247
606	2025-10-17	SERRAI	18	13.45	2025-10-16	42	12.3212
606	2025-10-18	SERRAI	18	13.65	2025-10-17	42	12.616
606	2025-10-19	SERRAI	18	11.75	2025-10-18	42	11.4911
606	2025-10-20	SERRAI	18	12.45	2025-10-19	42	10.5138
606	2025-10-21	SERRAI	18	10.95	2025-10-20	42	10.0683
606	2025-10-22	SERRAI	18	14.45	2025-10-21	42	13.6923
606	2025-10-23	SERRAI	18	16.15	2025-10-22	42	13.7953
606	2025-10-26	SERRAI	18	11.65	2025-10-25	42	13.1305
606	2025-10-27	SERRAI	18	10.95	2025-10-26	42	9.07047
606	2025-10-28	SERRAI	18	3.95	2025-10-27	42	5.89243
606	2025-10-29	SERRAI	18	6.75	2025-10-28	42	7.1481
606	2025-10-30	SERRAI	18	8.75	2025-10-29	42	8.46661
606	2025-10-31	SERRAI	18	9.95	2025-10-30	42	8.38831
613	2025-10-03	FLORINA	18	3.15	2025-10-02	42	0.65787
613	2025-10-04	FLORINA	18	5.45	2025-10-03	42	2.94205
613	2025-10-05	FLORINA	18	7.25	2025-10-04	42	7.04068
613	2025-10-06	FLORINA	18	7.75	2025-10-05	42	4.39615
613	2025-10-07	FLORINA	18	6.75	2025-10-06	42	4.19571
613	2025-10-08	FLORINA	18	6.95	2025-10-07	42	4.8898
613	2025-10-09	FLORINA	18	7.75	2025-10-08	42	5.75016
613	2025-10-10	FLORINA	18	9.45	2025-10-09	42	7.64127
613	2025-10-11	FLORINA	18	5.25	2025-10-10	42	5.36539
613	2025-10-12	FLORINA	18	6.95	2025-10-11	42	6.53482
613	2025-10-13	FLORINA	18	6.45	2025-10-12	42	7.21256
